22,1005125772364
133,921470259824
377,75148247632
428,45861221026
464,752924023257
454,864457351571
559,890767200201
900,395794204806
942,380234100965
917,189020013419
1017,46934949282
1095,55022092465
1228,85821185595
1110,4881758967
1149,98585944152
1064,21058109933
1337,26193983373
1214,12766017696
941,975530998153
962,748162586099
1279,21676546415
955,021419958208
1280,13627895642
1387,18814563486
1422,94242062531
1347,26753313447
1354,82672055778
1338,61763626116
1374,99131359781
1337,19195938388
1347,83829250893
1329,22817324505
1238,5031952637
